# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Nov 15 18:05:24 2021
#
# User preference: *
#
# COLUMN kepid:          KepID
# COLUMN tce_plnt_num:   Planet Number
# COLUMN tce_period:     Orbital Period [days]
# COLUMN tce_period_err: Orbital Period Unc. [days]
# COLUMN tce_time0bk:    Transit Epoch [BKJD]
# COLUMN tce_time0bk_err: Transit Epoch Unc. [BKJD]
#
kepid,tce_plnt_num,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err
2304168,2,431.719000,1.180250000e-02,219.298,1.838380000e-02
2304235,1,0.570607,5.551820000e-06,132.049,6.989240000e-04
2304566,1,0.689480,4.752780000e-05,131.833,1.983840000e-02
2304320,1,16.540800,4.285770000e-05,133.952,2.193080000e-03
2303365,2,0.520697,8.654280000e-06,132.003,9.162350000e-04
2303102,10,480.481000,2.095320000e-02,161.570,3.073540000e-02
2303903,1,3.708560,2.148680000e-05,134.480,3.688440000e-03
2303365,1,0.520693,1.355630000e-05,131.701,1.192510000e-03
2304604,1,0.845263,1.272340000e-05,131.673,2.489170000e-03
2305255,1,24.569400,1.019190000e-03,155.963,3.343430000e-02
757099,1,0.723930,2.191430000e-05,131.691,4.358580000e-03
892376,1,607.711000,8.982250000e-03,207.635,1.199710000e-02
757450,1,8.884920,1.215220000e-06,134.452,1.031710000e-04
892376,2,1.021880,8.715820000e-06,131.812,2.652370000e-03
892376,4,405.727000,1.117600000e-02,498.041,1.988000000e-02
892376,3,85.741100,-1.000000000e+00,182.874,-1.000000000e+00
892376,5,126.081000,2.991180000e-03,201.665,1.954510000e-02
892772,1,5.092590,3.049980000e-05,133.454,4.620160000e-03
892376,6,64.517800,-1.000000000e+00,188.638,-1.000000000e+00
892667,1,2.262010,2.617830000e-05,132.194,6.041530000e-03
893507,2,302.046000,2.381180000e-03,286.987,4.835720000e-03
893507,1,380.787000,3.871040000e-03,401.972,6.249610000e-03
893507,3,300.228000,7.309640000e-03,320.423,1.894670000e-02
893507,4,285.254000,4.851450000e-03,251.518,1.469200000e-02
893507,5,308.893000,3.976590000e-03,271.390,1.115560000e-02
893507,7,318.782000,4.243250000e-03,427.806,6.417400000e-03
893507,6,279.221000,7.240370000e-03,368.703,1.136320000e-02
893647,4,397.411000,1.058660000e-02,523.176,1.285700000e-02
893647,1,407.102000,5.525800000e-03,318.395,1.127260000e-02
893647,2,491.470000,8.492920000e-03,532.242,9.749110000e-03
893647,3,551.920000,6.442800000e-03,467.977,8.332980000e-03
1025986,1,275.072000,2.148320000e-03,315.240,4.471620000e-03
1026032,1,8.460440,3.752890000e-07,133.774,3.789590000e-05
1026133,1,1.346370,1.729090000e-05,132.808,5.614410000e-03
1026032,2,4.230220,7.597570000e-07,133.998,1.497520000e-04
1026133,2,186.181000,5.577710000e-03,244.432,1.926400000e-02
1026474,1,223.399000,2.934860000e-03,198.615,1.070200000e-02
1026474,2,205.853000,2.269130000e-02,250.645,6.370080000e-02
1026957,1,21.761300,9.741480000e-06,144.779,3.826300000e-04
1028018,1,0.615074,1.124610000e-05,131.685,1.392700000e-03
1028246,1,105.276000,1.422280000e-03,147.316,1.398570000e-02
1028246,2,192.927000,2.154670000e-02,212.184,9.123990000e-02
1160891,1,0.940466,9.804810000e-06,132.370,2.001780000e-03
1160891,2,0.940522,8.964570000e-06,131.718,2.198450000e-03
1160891,4,84.515400,1.479420000e-03,210.647,1.383980000e-02
1160891,3,65.624200,6.220150000e-04,152.751,6.305710000e-03
1161345,1,4.287650,1.243630000e-06,133.417,1.625650000e-04
1162150,1,1.130560,1.076260000e-05,131.639,3.111560000e-03
1162150,2,0.710008,1.642750000e-05,131.748,4.288760000e-03
1162150,3,0.710011,1.087350000e-05,131.995,3.684860000e-03
1162339,1,0.837073,1.598500000e-05,132.287,4.346470000e-03
1162339,2,417.691000,1.008640000e-02,168.622,1.843410000e-02
1162339,3,163.312000,2.217660000e-03,133.782,1.140340000e-02
1162345,1,1.109130,1.073550000e-05,131.912,2.245530000e-03
1162345,2,0.554544,1.032850000e-05,131.642,3.038330000e-03
1292087,1,1.094800,8.505840000e-03,132.712,2.731820000e+00
1293031,1,1.078720,1.713900000e-05,132.552,1.940300000e-03
1293031,2,1.078740,2.088480000e-05,132.012,6.871570000e-03
1293031,3,91.042300,3.725550000e-03,205.214,5.060030000e-02
1293046,1,36.267200,2.812370000e-04,155.081,6.523960000e-03
1294670,1,1.343150,1.876940000e-05,132.646,8.296270000e-03
1294670,2,0.715635,1.134180000e-05,131.762,4.731360000e-03
1294756,1,0.795291,1.056560000e-05,131.971,2.227870000e-03
1294756,2,327.664000,4.448650000e-03,259.642,2.575630000e-02
1294756,3,527.250000,1.189890000e-02,175.543,1.217730000e-02
1294756,4,193.300000,2.135080000e-03,232.194,1.034260000e-02
1294756,5,252.753000,3.848770000e-03,302.211,1.042850000e-02
1294756,6,400.264000,1.341950000e-02,333.658,1.687030000e-02
1294756,7,546.484000,1.036770000e-02,246.699,1.442680000e-02
1294869,1,273.376000,1.013760000e-02,301.969,2.563830000e-02
1294756,8,278.183000,4.898800000e-03,251.695,1.076020000e-02
1296164,1,1.961090,2.003250000e-05,132.264,4.716840000e-03
1296721,1,3.913560,1.676470000e-04,132.234,3.448280000e-02
1296164,2,65.235400,6.844250000e-04,154.518,7.849060000e-03
1429120,1,0.760615,7.369170000e-05,132.294,3.439800000e-02
1297272,1,197.902000,1.529150000e-03,328.609,5.472440000e-03
1429653,1,2.338290,2.584410000e-05,133.073,6.937380000e-03
1429653,2,2.337900,9.347690000e-05,132.579,8.245030000e-02
1431114,1,419.412000,1.966600000e-02,205.811,3.699090000e-02
1430590,2,1.386270,9.345930000e-03,132.118,3.137260000e+00
1430590,1,1.386640,1.390130000e-05,132.731,4.076400000e-03
1431114,2,401.306000,1.138480000e-02,242.182,2.155340000e-02
1431501,1,502.717000,1.323780000e-02,317.149,1.654270000e-02
1431122,1,4.298910,1.409930000e-05,132.863,2.235170000e-03
1431794,1,1.251190,1.369140000e-05,131.756,7.452960000e-03
1431794,2,0.515958,-1.000000000e+00,131.614,-1.000000000e+00
1432149,1,0.583206,9.121620000e-06,131.873,1.507300000e-03
1432091,1,4.684850,2.495900000e-04,134.196,4.142070000e-02
1432214,1,161.788000,3.475100000e-05,214.039,1.728620000e-04
1432214,2,161.778000,3.050480000e-03,230.891,1.449910000e-02
1432789,2,4.578360,4.399680000e-05,132.296,6.861360000e-03
1432789,1,9.931420,6.040860000e-05,136.493,4.787290000e-03
1433399,3,253.126000,3.767240000e-03,332.459,5.130870000e-02
1433399,4,540.098000,1.547070000e-02,154.356,1.665030000e-01
1433399,1,2.126460,2.740820000e-05,133.578,5.508940000e-03
1433399,2,563.384000,1.898690000e-02,449.988,5.880610000e-02
1433399,6,57.115800,-1.000000000e+00,158.078,-1.000000000e+00
1433899,1,1.041480,1.637500000e-05,131.667,6.337890000e-03
1433399,5,225.495000,1.063890000e-02,274.757,2.903290000e-02
1433962,1,1.592620,7.145020000e-06,132.338,2.864650000e-03
1433980,1,1.592720,-1.000000000e+00,132.264,-1.000000000e+00
1434395,1,2.222720,7.704460000e-06,131.900,1.031020000e-03
1434660,1,3.693370,6.957210000e-05,131.773,1.145670000e-02
1433980,2,1.592860,-1.000000000e+00,133.006,-1.000000000e+00
1434660,2,155.635000,9.981970000e-03,158.340,4.997070000e-02
1434660,3,0.634203,7.783470000e-06,131.574,1.062880000e-03
1434660,4,224.052000,1.678600000e-02,341.316,5.085150000e-02
1434660,5,0.634198,9.231700000e-06,131.786,1.431500000e-03
1434800,2,75.797300,1.520590000e-03,193.952,1.234010000e-02
1434800,3,60.649500,1.167130000e-03,135.692,1.569690000e-02
1434800,1,0.999208,1.122850000e-05,131.741,3.345800000e-03
1435448,1,305.082000,1.261140000e-02,316.571,3.775340000e-02
1434976,1,438.225000,9.694510000e-03,308.756,1.382270000e-02
1570924,1,322.161000,5.423090000e-03,427.400,5.445240000e-03
1435448,2,373.217000,1.400280000e-02,239.173,2.942180000e-02
1571152,1,0.608133,1.975240000e-05,131.565,1.637250000e-03
1570924,3,223.374000,3.133600000e-03,295.466,8.368280000e-03
1571152,2,0.608161,8.951710000e-06,131.991,5.878920000e-04
1570924,2,443.672000,1.201990000e-02,454.293,1.683560000e-02
1570349,1,0.581469,1.624420000e-03,131.634,8.891010000e-01
1435448,3,332.991000,1.127900000e-02,279.887,2.614330000e-02
1571717,2,15.107400,1.098710000e-04,145.585,6.769730000e-03
1571511,1,14.022500,8.958800000e-07,135.528,5.358060000e-05
1571511,2,14.022500,5.585130000e-05,142.924,3.271900000e-03
1571717,1,1.019800,2.511520000e-05,132.338,8.909780000e-03
1571717,6,43.176200,4.531940000e-03,148.076,8.186480000e-02
1571717,3,26.963000,4.183120000e-04,147.497,9.744490000e-03
1571717,4,19.985500,7.232250000e-04,136.439,3.206660000e-02
1571717,5,100.951000,4.762550000e-03,142.159,5.632380000e-02
1571152,3,0.657841,7.723520000e-06,131.614,1.224490000e-03
1571717,7,25.943400,2.637880000e-04,134.676,8.652990000e-03
1572201,1,254.280000,3.242810000e-03,167.774,1.071290000e-02
1572114,3,365.292000,1.944320000e-02,376.582,2.661070000e-02
1572114,1,639.047000,2.383180000e-02,215.806,3.477280000e-02
1572114,2,542.138000,2.474260000e-02,199.046,3.194170000e-02
1573138,4,344.850000,3.511640000e-03,404.841,5.136440000e-03
1573138,2,450.555000,4.372880000e-03,467.713,5.004150000e-03
1573174,1,0.979807,1.330510000e-02,131.995,1.543940000e+00
1572948,1,3.003280,1.127160000e-05,132.074,2.808040000e-03
1573138,5,507.488000,-1.000000000e+00,245.973,-1.000000000e+00
1573094,1,500.601000,2.128860000e-02,364.854,2.491240000e-02
1573138,3,330.888000,1.082780000e-02,225.493,2.472940000e-02
1573138,1,275.711000,5.823900000e-03,182.562,1.825800000e-02
1575690,1,1.126200,1.330080000e-07,132.441,2.860370000e-05
1576115,1,0.970028,6.702900000e-06,132.256,2.756110000e-03
1575977,2,0.676498,1.992360000e-05,131.808,3.077860000e-03
1576115,2,0.970059,1.483310000e-05,132.001,2.237960000e-02
1576144,1,548.743000,2.962760000e-03,406.815,3.919780000e-03
1573174,3,0.634927,1.857320000e-05,132.021,3.841720000e-03
1575977,1,0.676518,1.308730000e-05,132.137,1.650600000e-03
1574792,1,2.783980,1.286040000e-03,131.850,2.391010000e-01
1573174,4,0.634924,-1.000000000e+00,131.605,-1.000000000e+00
1575873,1,0.628996,1.043720000e-05,131.566,1.635120000e-03
1573174,2,0.634916,1.246810000e-05,131.817,2.008030000e-03
1576144,8,197.221000,2.389690000e-03,210.992,9.561140000e-03
1576144,5,459.770000,6.165990000e-03,286.410,9.566480000e-03
1577039,1,1.181870,1.164910000e-05,131.979,2.686630000e-03
1577039,2,1.181880,1.569360000e-05,132.555,4.049480000e-03
1576144,7,543.091000,6.159670000e-03,407.375,9.502030000e-03
1717528,1,552.789000,1.221580000e-02,360.342,1.729560000e-02
1576144,3,2.686660,3.660850000e-05,132.297,2.336010000e-02
1576144,4,498.431000,2.511860000e-02,253.555,3.577330000e-02
1576144,2,2.686670,8.355480000e-06,132.160,1.374680000e-03
1576144,6,376.173000,4.827510000e-03,248.856,1.027760000e-02
1577912,1,0.680139,1.597060000e-05,131.950,7.992830000e-03
1720673,5,326.045000,-1.000000000e+00,168.761,-1.000000000e+00
1718189,3,86.723300,1.277440000e-03,195.338,1.106160000e-02
1722916,5,22.011300,3.168940000e-04,131.997,1.225910000e-02
1717722,3,0.977296,7.410080000e-06,131.710,1.837470000e-03
1719308,2,313.248000,5.067210000e-03,410.030,1.090280000e-02
1722506,2,467.574000,1.271490000e-02,324.006,1.669860000e-02
1717722,1,417.666000,2.777100000e-02,186.188,5.203190000e-02
1722916,1,1.813530,1.944710000e-03,132.514,3.606600000e-01
1718189,2,13.060800,8.775700000e-05,137.628,5.545800000e-03
1722916,3,113.456000,2.224290000e-03,213.727,1.916000000e-02
1722916,4,59.108500,1.072620000e-03,141.294,1.717870000e-02
1718958,1,1.419760,5.526680000e-06,132.919,1.163700000e-03
1720673,3,368.353000,2.278260000e-02,496.395,2.969300000e-02
1722506,1,549.545000,4.717510000e-02,332.886,6.963010000e-02
1718594,1,2.718660,2.585200000e-05,132.800,5.830830000e-03
1722506,3,606.951000,9.802490000e-03,296.317,1.460440000e-02
1722506,4,502.537000,8.596930000e-03,488.978,1.171550000e-02
1721157,1,3.449280,1.323230000e-05,133.381,2.215840000e-03
1718189,1,21.853600,1.020830000e-04,144.322,3.822040000e-03
1722916,2,1.813820,2.272770000e-05,132.494,5.353780000e-03
1721614,2,523.980000,9.977270000e-03,405.791,1.262000000e-02
1720673,1,374.564000,2.794190000e-03,445.993,5.324760000e-03
1720673,4,325.394000,1.627850000e-02,168.922,4.992720000e-02
1722276,1,569.936000,1.297150000e-03,248.938,1.704710000e-03
1721614,1,368.394000,2.025150000e-03,422.014,5.340280000e-03
1719308,1,36.573000,1.398690000e-03,164.835,3.045580000e-02
1720673,2,324.772000,1.501460000e-02,168.385,4.629530000e-02
1717722,2,4.537000,1.607820000e-05,132.186,2.471020000e-03
1718594,2,0.774508,2.390960000e-05,132.249,5.004740000e-03
1724968,6,139.784000,-1.000000000e+00,214.410,-1.000000000e+00
1849235,2,0.937105,5.695410000e-06,131.927,9.082190000e-04
1849235,3,4.685460,2.705640000e-05,132.200,3.849550000e-03
1849235,4,0.520614,-1.000000000e+00,131.536,-1.000000000e+00
1849555,1,1.672990,1.841020000e-05,132.293,3.938540000e-03
1724222,2,199.727000,2.561800000e-03,267.198,8.262150000e-03
1724968,2,305.116000,9.463420000e-03,350.424,2.672140000e-02
1865042,1,3.481590,8.671060000e-06,132.988,1.530440000e-03
1849702,1,39.831100,2.443980000e-04,155.643,5.105100000e-03
1722916,6,359.059000,2.058100000e-02,202.797,9.170400000e-02
1724513,1,1.975180,9.610770000e-06,131.636,2.066280000e-03
1724842,1,468.865000,1.610210000e-02,507.782,2.052430000e-02
1724968,1,0.620597,1.070800000e-05,131.936,2.410440000e-03
1723078,1,330.017000,4.906940000e-03,364.815,9.249320000e-03
1724968,4,175.483000,4.481700000e-03,169.956,2.116270000e-02
1849785,1,618.405000,9.895910000e-03,324.699,1.294280000e-02
1725016,1,7.407360,3.901470000e-05,133.280,4.316330000e-03
1724719,1,5.791780,3.018220000e-05,133.358,3.778210000e-03
1722916,7,80.910800,1.556370000e-03,145.944,1.588730000e-02
1724222,3,524.897000,1.463330000e-02,373.065,5.099530000e-02
1725457,1,602.999000,4.514380000e-02,354.651,6.780320000e-02
1725193,1,2.963840,2.118710000e-07,134.119,5.508700000e-05
1724222,1,0.827889,9.374820000e-06,131.811,2.447940000e-03
1724719,2,10.098900,8.843910000e-05,132.330,6.764670000e-03
1726231,1,359.623000,9.237690000e-03,373.947,2.016530000e-02
1849235,1,0.937079,1.568330000e-05,131.597,5.254960000e-03
1722916,8,95.858300,1.471290000e-03,158.855,8.885010000e-03
1724222,4,127.315000,1.202560000e-03,168.776,7.971660000e-03
1724968,3,126.318000,1.793100000e-03,179.769,1.214440000e-02
1724968,5,620.023000,1.201120000e-02,198.610,1.331450000e-02
1722916,9,105.724000,2.547100000e-03,156.863,1.714960000e-02
1724961,1,0.620596,1.339170000e-05,131.924,1.698340000e-03
1868524,1,443.033000,1.550650000e-02,373.651,1.657470000e-02
1870849,2,0.531221,4.880730000e-06,131.525,1.707220000e-03
1866252,1,0.700486,1.234460000e-05,132.164,2.794680000e-03
1870398,1,43.139100,2.961400000e-03,132.321,5.604030000e-02
1865567,2,0.674675,1.495460000e-05,131.645,4.687870000e-03
1870849,1,0.531227,9.707860000e-06,131.789,1.863480000e-03
1865567,3,41.202500,1.140530000e-02,162.734,1.255420000e-01
1865567,1,1.349410,9.281180000e-06,132.599,2.386080000e-03
1868404,1,6.126020,4.132110000e-05,134.834,4.778070000e-03
1869607,1,12.058900,5.035800000e-04,136.162,3.476080000e-02
1865864,1,69.089200,1.308770000e-03,135.446,1.580430000e-02
1872340,1,378.354000,5.863580000e-03,306.938,8.299300000e-03
1872340,5,444.622000,1.023440000e-02,304.104,1.087840000e-02
1872340,3,410.895000,6.245620000e-03,209.301,1.002670000e-02
1872192,1,0.671428,1.960860000e-05,132.144,2.347990000e-03
1871056,1,40.806300,1.978170000e-04,155.720,3.805680000e-03
1872340,4,416.101000,4.299200000e-03,478.618,5.807260000e-03
1872262,1,1.501890,-1.000000000e+00,131.528,-1.000000000e+00
1872821,1,10.273800,5.502870000e-05,134.659,4.328980000e-03
1872340,6,398.777000,6.346160000e-03,278.656,7.592500000e-03
1872340,7,543.909000,5.254960000e-03,314.513,6.973640000e-03
1871056,2,140.105000,2.299020000e-03,216.218,1.013370000e-02
1872340,2,533.713000,6.247240000e-02,257.079,8.775500000e-02
1872948,3,30.487900,9.272210000e-04,134.076,2.611340000e-02
1873543,2,316.697000,8.879630000e-03,445.815,1.898860000e-02
1872948,1,1.386480,1.414700000e-05,131.586,3.948660000e-03
1873543,3,638.150000,1.140560000e-02,303.078,1.638690000e-02
1873493,1,402.606000,9.351250000e-03,375.488,1.197920000e-02
1873513,1,3.290350,6.363460000e-07,131.890,1.473000000e-04
1872885,1,470.267000,7.669290000e-03,269.471,9.975740000e-03
1872948,2,405.273000,6.140090000e-03,304.396,1.449690000e-02
1872885,2,463.746000,7.459260000e-03,245.507,8.819000000e-03
1873543,1,536.620000,1.071360000e-02,206.109,1.382760000e-02
1995431,2,555.321000,1.361490000e-02,450.526,1.535380000e-02
1995732,1,77.362500,1.788590000e-05,139.096,1.969870000e-04
1996679,2,291.105000,3.821780000e-03,275.984,1.042320000e-02
1995519,2,462.305000,1.437130000e-02,307.673,1.643130000e-02
1995712,1,462.136000,1.405770000e-02,307.644,1.535050000e-02
2010152,1,317.737000,9.657990000e-03,205.965,1.918160000e-02
1996180,2,5.422070,3.657830000e-05,133.455,4.871260000e-03
1873543,4,359.474000,1.420370000e-02,337.332,1.817120000e-02
1995323,1,480.224000,1.845330000e-02,224.631,2.725700000e-02
1995431,3,3.823710,7.831970000e-05,135.105,1.362220000e-02
1996679,1,145.563000,3.691160000e-04,146.058,1.955480000e-03
1995519,1,19.940200,1.292330000e-04,142.348,5.475050000e-03
1996180,1,3.025560,1.037940000e-05,134.373,2.104900000e-03
1995431,1,446.762000,9.976460000e-03,308.229,1.185170000e-02
1995732,2,77.360900,2.961640000e-05,171.322,3.051740000e-04
1996399,1,358.680000,5.916500000e-03,485.160,1.034340000e-02
2010414,1,2.555610,1.416130000e+02,133.271,2.773380000e+04
2011145,1,356.357000,5.336690000e-03,226.533,6.305620000e-03
2010414,2,2.555390,4.563300000e-05,133.180,1.714840000e-02
2010607,1,18.633300,7.820410000e-05,141.569,3.528540000e-03
2011424,1,0.521186,3.966440000e-06,131.587,5.840090000e-04
2010191,1,3.435230,2.268870000e-05,132.644,4.555040000e-03
2013754,2,331.643000,5.705780000e-03,268.148,1.115670000e-02
2013883,1,0.764590,1.094370000e-05,131.696,2.013640000e-03
2011424,2,0.521179,6.117760000e-06,131.778,1.001660000e-03
2014991,3,125.158000,4.361590000e-03,147.518,2.374710000e-02
2013754,1,448.370000,3.162790000e-02,363.081,4.215420000e-02
2014991,4,342.260000,5.424780000e-03,205.163,1.200550000e-02
2012722,1,2.326490,1.576480000e-05,133.198,3.209210000e-03
2014991,1,6.496800,1.408540000e-05,132.171,1.562240000e-03
2013754,3,440.851000,8.696510000e-03,510.140,1.060280000e-02
2012722,2,1.162880,2.832100000e-05,132.081,8.276610000e-03
2014991,2,1.979830,1.192000000e-04,132.576,2.761550000e-02
2014991,5,51.120800,4.430180000e-04,169.148,9.123800000e-03
2018261,1,2.536660,3.084370000e-05,132.465,6.130260000e-03
2014991,10,186.769000,3.041760000e-03,317.881,1.239280000e-02
2017692,1,0.929204,6.477340000e-05,132.531,2.543180000e-02
2018261,3,398.180000,4.766770000e-03,242.460,7.264070000e-03
2014991,6,106.817000,2.568540000e-03,138.020,1.514870000e-02
2018261,4,140.938000,1.816060000e-03,193.503,1.018090000e-02
2017803,1,0.610604,5.209460000e-05,132.068,1.093490000e-02
2014991,7,26.464600,4.214050000e-04,146.688,1.306410000e-02
2014991,9,374.173000,1.214970000e-02,155.459,2.594530000e-02
2014991,8,175.414000,4.406470000e-03,189.562,1.868100000e-02
2017224,1,479.262000,1.473760000e-02,226.658,2.493710000e-02
2016979,1,0.827217,9.217640000e-06,131.630,2.181960000e-03
2018261,2,171.775000,7.982550000e-03,295.209,4.087520000e-02
2018261,7,57.783300,1.360120000e-03,162.296,2.090860000e-02
2018261,5,489.576000,1.455980000e-02,277.705,1.472220000e-01
2018261,6,92.340300,1.285900000e-03,157.835,9.628420000e-03
2018642,1,114.625000,3.058900000e-03,215.588,5.261600000e-03
2018906,1,0.525149,2.777330000e-05,131.659,8.249050000e-03
2018685,1,4.214550,1.139490000e-04,133.777,2.057040000e-02
2018906,2,58.694000,1.376360000e-03,145.945,2.427230000e-02
2018906,3,203.051000,5.812930000e-03,238.006,1.332420000e-02
2018906,4,31.419300,3.776190000e-04,137.819,9.627860000e-03
2018906,5,22.245800,1.602910000e-04,137.842,6.433160000e-03
2018906,9,53.025200,2.787750000e-03,168.237,1.706590000e-02
2018906,6,44.158600,5.886730000e-04,138.108,9.620700000e-03
2018906,7,53.152200,3.442410000e-04,148.597,5.230000000e-03
2019297,2,3.795500,3.543900000e-05,132.994,7.660960000e-03
2018906,8,46.663900,7.673030000e-04,154.862,1.251440000e-02
2019297,1,3.794080,3.386160000e-05,132.709,5.454840000e-03
2018906,10,7.605980,7.636560000e-05,131.529,7.558020000e-03
2019076,1,3.564620,3.309170000e-07,131.862,7.196520000e-05
2140782,1,2.099250,7.862180000e-05,132.423,2.200720000e-02
2020437,1,499.497000,2.009680000e-02,284.772,2.614210000e-02
2021440,1,7.811560,3.805560000e-05,136.330,4.021360000e-03
2021100,3,47.861900,1.717150000e-03,173.503,3.014540000e-02
2019477,2,27.247400,5.851960000e-04,131.933,1.878520000e-02
2140389,1,0.967420,3.194190000e-07,132.262,1.215330000e-04
2140360,1,0.952760,1.318990000e-05,131.571,1.833290000e-03
2019477,1,20.571400,3.557230000e-04,149.255,1.473980000e-02
2021440,2,7.811570,4.578690000e-05,131.528,4.719160000e-03
2021100,1,1.731400,2.857960000e-05,132.146,8.129930000e-03
2140782,2,327.400000,2.561650000e-02,266.831,5.238420000e-02
2021100,2,1.734390,2.668960000e-05,132.145,8.634740000e-03
2140782,3,119.461000,1.177720000e-03,206.974,9.094810000e-03
2141387,4,699.343000,6.278360000e-03,134.398,9.510390000e-03
2140782,5,135.864000,2.817120000e-03,246.662,1.249530000e-02
2141783,1,116.522000,7.225640000e-04,144.133,4.995500000e-03
2141938,1,1.253750,1.333100000e-05,132.495,4.475950000e-03
2141387,3,620.175000,6.306510000e-03,149.589,1.092970000e-02
2140782,6,109.652000,1.905770000e-03,185.820,1.346970000e-02
2142183,1,684.034000,7.923930000e-03,185.892,1.264780000e-02
2140782,4,111.963000,1.396200000e-03,138.993,1.109960000e-02
2141938,2,1.253620,1.515480000e-05,131.967,5.671750000e-03
