# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Nov 16 03:46:30 2021
#
# User preference: *
#
# COLUMN toi:            TESS Object of Interest
# COLUMN tid:            TESS Input Catalog ID
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN pl_tranmid:     Planet Transit Midpoint Value [BJD]
# COLUMN pl_tranmiderr1: Planet Transit Midpoint Upper Unc [BJD]
# COLUMN pl_tranmiderr2: Planit Transit Midpoint Lower Unc [BJD]
# COLUMN pl_tranmidlim:  Planet Transit Midpoint Limit Flag
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_orbpererr1:  Planet Orbital Period Upper Unc [days]
# COLUMN pl_orbpererr2:  Planet Orbital Period Lower Unc [days]
# COLUMN pl_orbperlim:   Planet Orbital Period Limit Flag
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_trandurherr1: Planet Transit Duration Upper Unc [hours]
# COLUMN pl_trandurherr2: Planet Transit Duration Lower Unc [hours]
# COLUMN pl_trandurhlim: Planet Transit Duration Limit Flag
#
toi,tid,tfopwg_disp,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim
1000.01,50365310,FP,2459229.6300460,0.001657,-0.001657,0,2.1713484,0.0002637,-0.0002637,0,2.0172196,0.3195879,-0.3195879,0
1001.01,88863718,PC,2459250.0645490,0.001925,-0.001925,0,1.9316710,0.0000077,-0.0000077,0,3.1800000,0.1730000,-0.1730000,0
1002.01,124709665,FP,2459202.2778700,0.001161,-0.001161,0,1.8675878,0.0001523,-0.0001523,0,2.2118642,0.0946251,-0.0946251,0
1003.01,106997505,FP,2458493.3957000,0.005350,-0.005350,0,2.7432300,0.0010800,-0.0010800,0,3.1670000,0.6420000,-0.6420000,0
1004.01,238597883,FP,2459229.5490320,0.002365,-0.002365,0,3.5775748,0.0006687,-0.0006687,0,2.9347085,0.3439169,-0.3439169,0
1005.01,169904935,FP,2458492.5552000,0.001060,-0.001060,0,4.5507200,0.0003300,-0.0003300,0,2.5990000,0.2840000,-0.2840000,0
1006.01,156115721,FP,2459229.9845790,0.002159,-0.002159,0,2.5047918,0.0004076,-0.0004076,0,4.3797563,0.1036554,-0.1036554,0
1007.01,65212867,PC,2459247.9306950,0.001300,-0.001300,0,6.9989206,0.0000137,-0.0000137,0,3.9530000,0.4370000,-0.4370000,0
1008.01,440801822,FP,2458492.5213500,0.005790,-0.005790,0,2.0493600,0.0010500,-0.0010500,0,2.2340000,0.4010000,-0.4010000,0
1009.01,107782586,PC,2459252.7513570,0.001632,-0.001632,0,1.9600296,0.0000050,-0.0000050,0,1.8420000,0.1580000,-0.1580000,0
101.01,231663901,KP,2459036.9041040,0.000393,-0.000393,0,1.4303691,0.0000009,-0.0000009,0,1.6438728,0.0187562,-0.0187562,0
1010.01,139853601,FP,2459228.8781010,0.000791,-0.000791,0,0.6808702,0.0000390,-0.0000390,0,2.4634563,0.0557065,-0.0557065,0
